symbol,entry_time,exit_time,direction,lots,per_lot_risk,risk_pct_used,scaled_pnl,equity_after_entry,exit_reason,skipped
PS,2025-11-03 09:10:00,2025-11-03 09:25:00,long,2,465.0,0.874,-997.02,106451.9,stop_loss,False
PS,2025-11-03 13:40:00,2025-11-03 13:50:00,long,1,585.0,0.555,-618.72,105454.88,stop_loss,False
LC,2025-11-04 09:10:00,2025-11-04 09:20:00,short,4,260.0,0.992,-1105.32,104836.16,stop_loss,False
PS,2025-11-04 13:40:00,2025-11-04 13:45:00,long,2,150.0,0.289,-365.44,103730.84,stop_loss,False
PS,2025-11-05 09:10:00,2025-11-05 09:20:00,short,2,360.0,0.697,-783.96,103365.4,stop_loss,False
PS,2025-11-05 13:40:00,2025-11-05 14:00:00,short,2,210.0,0.409,685.72,102581.44,take_profit,False
PS,2025-11-06 09:10:00,2025-11-06 09:20:00,short,2,165.0,0.32,-393.96,103267.16,stop_loss,False
LC,2025-11-06 13:40:00,2025-11-06 13:45:00,long,5,200.0,0.972,1620.3,102873.2,take_profit,False
PS,2025-11-07 13:40:00,2025-11-07 14:10:00,short,2,405.0,0.775,1466.16,104493.5,take_profit,False
LC,2025-11-10 13:40:00,2025-11-10 14:25:00,short,2,420.0,0.793,-874.46,105959.66,stop_loss,False
PS,2025-11-10 13:40:00,2025-11-10 13:45:00,short,1,270.0,0.255,-301.9,105959.66,stop_loss,False
LC,2025-11-11 09:10:00,2025-11-11 09:20:00,short,4,240.0,0.916,1610.56,104783.3,take_profit,False
PS,2025-11-12 13:40:00,2025-11-12 13:55:00,long,2,525.0,0.987,1947.88,106393.86,take_profit,False
LC,2025-11-13 13:40:00,2025-11-13 13:50:00,long,3,300.0,0.831,-953.67,108341.74,stop_loss,False
PS,2025-11-13 13:40:00,2025-11-13 13:50:00,long,1,480.0,0.443,-512.55,108341.74,stop_loss,False
PS,2025-11-14 09:10:00,2025-11-14 09:30:00,short,1,750.0,0.702,-782.57,106875.52,stop_loss,False
LC,2025-11-14 13:40:00,2025-11-14 13:45:00,short,5,180.0,0.848,-987.35,106092.95,stop_loss,False
PS,2025-11-14 13:40:00,2025-11-14 14:00:00,short,0,345.0,0.0,0.0,106092.95,take_profit,True
PS,2025-11-17 09:10:00,2025-11-17 09:45:00,short,1,840.0,0.799,-871.91,105105.6,stop_loss,False
PS,2025-11-17 13:40:00,2025-11-17 13:55:00,short,1,840.0,0.806,-871.7,104233.69,stop_loss,False
PS,2025-11-18 09:10:00,2025-11-18 09:15:00,short,2,465.0,0.9,-992.94,103361.99,stop_loss,False
LC,2025-11-18 13:40:00,2025-11-18 13:55:00,long,2,500.0,0.977,-1037.58,102369.05,stop_loss,False
PS,2025-11-18 13:40:00,2025-11-18 13:55:00,long,1,315.0,0.308,553.6,102369.05,take_profit,False
LC,2025-11-19 09:10:00,2025-11-19 09:15:00,long,1,620.0,0.609,1160.78,101885.07,take_profit,False
LC,2025-11-20 09:10:00,2025-11-20 09:15:00,long,2,380.0,0.738,-800.62,103045.85,stop_loss,False
PS,2025-11-20 13:40:00,2025-11-20 13:45:00,short,2,180.0,0.352,566.56,102245.23,take_profit,False
LC,2025-11-24 13:40:00,2025-11-24 14:15:00,long,1,740.0,0.72,-758.25,102811.79,stop_loss,False
LC,2025-11-25 09:10:00,2025-11-25 09:15:00,short,3,320.0,0.941,-1015.11,102053.54,stop_loss,False
LC,2025-11-25 13:40:00,2025-11-25 13:50:00,long,3,280.0,0.831,-896.07,101038.43,stop_loss,False
PS,2025-11-26 09:10:00,2025-11-26 09:15:00,long,2,285.0,0.569,983.94,100142.36,take_profit,False
LC,2025-11-26 13:40:00,2025-11-26 14:55:00,short,0,1680.0,0.0,-0.0,101126.3,forced_close,True
PS,2025-11-26 13:40:00,2025-11-26 14:00:00,short,0,1665.0,0.0,-0.0,101126.3,stop_loss,True
LC,2025-11-27 09:10:00,2025-11-27 10:00:00,short,1,620.0,0.613,-639.43,101126.3,stop_loss,False
PS,2025-11-27 09:10:00,2025-11-27 09:15:00,long,1,465.0,0.46,851.13,101126.3,take_profit,False
PS,2025-11-27 13:40:00,2025-11-27 13:45:00,short,2,345.0,0.681,-756.6,101338.0,stop_loss,False
LC,2025-11-28 09:10:00,2025-11-28 10:05:00,long,2,380.0,0.756,1361.3,100581.4,take_profit,False
PS,2025-11-28 09:10:00,2025-11-28 09:55:00,long,1,615.0,0.611,1151.5,100581.4,take_profit,False
LC,2025-11-28 13:40:00,2025-11-28 13:45:00,long,4,120.0,0.466,-557.64,103094.2,stop_loss,False
PS,2025-11-28 13:40:00,2025-11-28 13:45:00,long,0,300.0,0.0,-0.0,103094.2,stop_loss,True
LC,2025-12-02 13:40:00,2025-12-02 13:45:00,long,4,180.0,0.702,1122.64,102536.56,take_profit,False
LC,2025-12-03 13:40:00,2025-12-03 14:15:00,short,1,700.0,0.675,1321.29,103659.2,take_profit,False
PS,2025-12-04 13:40:00,2025-12-04 13:55:00,short,1,540.0,0.514,-574.02,104980.49,stop_loss,False
PS,2025-12-05 09:10:00,2025-12-05 09:40:00,short,2,510.0,0.977,1882.52,104406.47,take_profit,False
PS,2025-12-08 13:40:00,2025-12-08 13:45:00,short,2,105.0,0.198,-274.72,106288.99,stop_loss,False
LC,2025-12-10 09:10:00,2025-12-10 09:15:00,short,4,200.0,0.755,-875.04,106014.27,stop_loss,False
